"TOA5","adjuntas","CR1000X","31923","CR1000X.Std.05.01","CPU:adjuntas_17-july-2024.CR1X","57719","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_20cm","suction2_40cm","suction3_60cm","wc1_20cm","wc2_40cm","wc3_60cm","wc4_80cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-17 14:05:00",0,13.59,27.89,5.733,0,0,3161,26.88797,101.4765,3172,21,-0.01269603,0,0,-0.1,0.5216428,0.4413894,0.4776843,0.4263148
"2024-07-17 14:10:00",1,13.46,27.82,6.104,0,0,3162,26.80496,101.4689,3172,21,-0.01360351,0,0,-0.1,0.5212644,0.441318,0.477574,0.42632
"2024-07-17 14:15:00",2,13.27,27.78,5.912,0,0,3161,26.70065,101.473,3172,21,-0.01354849,0,0,-0.1,0.5210118,0.4412872,0.477544,0.4263006
"2024-07-17 14:20:00",3,13.36,27.69,5.967,0,0,3162,26.52374,101.4638,3172,21,-0.01454884,0,0,-0.1,0.5212992,0.4413593,0.4775686,0.4263187
"2024-07-17 14:25:00",4,13.59,27.57,6.021,0,0,3162,26.35162,101.4635,3172,21,-0.01376384,0,0,-0.1,0.5215504,0.4413388,0.4776204,0.42637
"2024-07-17 14:30:00",5,13.58,27.44,6.065,0,0,3162,26.26855,101.4536,3172,21,-0.01460165,0,0,-0.1,0.5214496,0.4413399,0.4777167,0.4263609
"2024-07-17 14:35:00",6,13.63,27.32,5.962,0,0,3162,26.24042,101.4426,3172,21,-0.01580399,0,0,-0.1,0.5214616,0.4413134,0.4775958,0.4263231
"2024-07-17 14:40:00",7,13.63,27.2,6.07,0,0,3162,26.23538,101.4374,3172,21,-0.01635712,0,0,-0.1,0.5214102,0.4412422,0.4775896,0.4263081
"2024-07-17 14:45:00",8,13.62,27.1,6.079,0,0,3162,26.23755,101.4356,3172,21,-0.01664519,0,0,-0.1,0.521313,0.4411114,0.4775673,0.4263216
"2024-07-17 14:50:00",9,13.63,27.01,6.027,0,0,3162,26.22452,101.425,3172,21,-0.01789021,0,0,-0.1,0.521248,0.441168,0.4776878,0.4261504
"2024-07-17 14:55:00",10,13.63,26.91,5.889,0,0,3162,26.19278,101.4128,3172,21,-0.01891714,0,0,-0.1,0.5213497,0.4411088,0.4775369,0.4262478
"2024-07-17 15:00:00",11,13.55,26.83,5.912,0,0,3162,26.18961,101.407,3172,21,-0.01964736,0,0,-0.1,0.5211533,0.4411594,0.4775326,0.4261206
"2024-07-17 15:05:00",12,13.31,26.84,5.877,0,0,3162,26.16953,101.4138,3172,21,-0.01875973,0,0,-0.1,0.5207708,0.4410936,0.4775493,0.4261762
"2024-07-17 15:10:00",13,13.28,26.87,6.306,0,0,3162,26.17636,101.4118,3172,21,-0.01875639,0,0,-0.1,0.5207177,0.4411007,0.4774501,0.4262028
"2024-07-17 15:15:00",14,13.24,26.94,6.337,0,0,3162,26.19879,101.4152,3172,21,-0.01892883,0,0,-0.1,0.5206226,0.441054,0.4774145,0.4261334
"2024-07-17 15:20:00",15,13.57,26.95,6.249,0,0,3162,26.17517,101.4089,3172,21,-0.01939237,0,0,-0.1,0.5211419,0.4409752,0.477533,0.4262027
"2024-07-17 15:25:00",16,13.37,26.93,6.341,0,0,3162,26.14694,101.4105,3172,21,-0.01945853,0,0,-0.1,0.5210395,0.4409029,0.4774593,0.4261621
"2024-07-17 15:30:00",17,13.56,26.88,6.323,0,0,3162,26.08661,101.4048,3172,21,-0.01991266,0,0,-0.1,0.5210844,0.4408652,0.4775747,0.426179
"2024-07-17 15:35:00",18,13.44,26.81,5.854,0,0,3162,26.02863,101.3966,3172,21,-0.02082324,0,0,-0.1,0.5209832,0.440906,0.4774442,0.4261372
"2024-07-17 15:40:00",19,13.41,26.73,6.156,0,0,3162,25.9256,101.3881,3173,21,-0.02201355,0,0,-0.1,0.5209394,0.4408591,0.4774042,0.4260459
"2024-07-17 15:45:00",20,13.43,26.63,5.901,0,0,3163,25.79678,101.3799,3173,21,-0.02274054,0,0,-0.1,0.520916,0.4408234,0.477438,0.4259906
"2024-07-17 15:50:00",21,13.45,26.53,6.456,0,0,3163,25.68182,101.3784,3173,21,-0.02262312,0,0,-0.1,0.5210747,0.440935,0.4775227,0.4261036
"2024-07-17 15:55:00",22,13.42,26.43,6.389,0,0,3163,25.5784,101.3761,3173,21,-0.02308977,0,0,-0.1,0.5209117,0.4408614,0.4774046,0.4259924
"2024-07-17 16:00:00",23,13.46,26.33,6.259,0,0,3163,25.45474,101.3704,3173,21,-0.02355868,0,0,-0.1,0.520908,0.4408992,0.477513,0.4260725
"2024-07-17 16:05:00",24,13.22,26.31,6.004,0,0,3163,25.34982,101.3583,3173,21,-0.02462989,0,0,-0.1,0.520666,0.4409207,0.4774336,0.4260019
"2024-07-17 16:10:00",25,13.16,26.32,6.516,0,0,3163,25.28433,101.3518,3173,21,-0.02526128,0,0,-0.1,0.5205332,0.4408476,0.4772453,0.4258807
"2024-07-17 16:15:00",26,13.11,26.36,6.057,0,0,3163,25.22897,101.3521,3173,21,-0.02526295,0,0,-0.1,0.5203928,0.440756,0.4772539,0.4258465
"2024-07-17 16:20:00",27,13.35,26.34,5.967,0,0,3163,25.15579,101.3428,3173,21,-0.02638215,0,0,-0.1,0.5207783,0.4407201,0.4774349,0.4259881
"2024-07-17 16:25:00",28,13.33,26.3,6.246,0,0,3163,25.06039,101.3429,3173,21,-0.0264681,0,0,-0.1,0.5208458,0.4406984,0.4773183,0.4260208
"2024-07-17 16:30:00",29,13.35,26.21,6.494,0,0,3163,24.94415,101.3416,3173,21,-0.0265528,0,0,-0.1,0.5207759,0.4407939,0.4773011,0.4259988
"2024-07-17 16:35:00",30,13.36,26.11,6.37,0,0,3163,24.82407,101.3405,3173,21,-0.02664346,0,0,-0.1,0.5209212,0.4408506,0.4772822,0.4258513
"2024-07-17 16:40:00",31,13.39,25.99,6.45,0,0,3163,24.71307,101.3359,3173,21,-0.02694005,0,0,-0.1,0.520822,0.4408342,0.4773865,0.4258572
"2024-07-17 16:45:00",32,13.37,25.88,6.544,0,0,3163,24.63052,101.3362,3173,21,-0.02680767,0,0,-0.1,0.5208437,0.4408313,0.4772804,0.4259479
"2024-07-17 16:50:00",33,13.34,25.77,6.322,0,0,3163,24.55453,101.3427,3173,21,-0.02621818,0,0,-0.1,0.5208321,0.4407755,0.4772766,0.4259189
"2024-07-17 16:55:00",34,13.31,25.67,6.199,0,0,3163,24.46033,101.3487,3173,21,-0.02579767,0,0,-0.1,0.5208493,0.4407741,0.4772549,0.4258
"2024-07-17 17:00:00",35,13.31,25.56,6.344,0,0,3163,24.35327,101.3525,3173,21,-0.02543008,0,0,-0.1,0.5207938,0.4408177,0.4772248,0.4257981
"2024-07-17 17:05:00",36,13.05,25.53,6.333,0,0,3163,24.23621,101.3554,3173,21,-0.02510053,0,0,-0.1,0.520316,0.44074,0.4771289,0.4258277
"2024-07-17 17:10:00",37,12.99,25.51,6.318,0,0,3163,24.11743,101.36,3173,21,-0.02453095,0,0,-0.1,0.5203519,0.4406397,0.4771894,0.425764
"2024-07-17 17:15:00",38,12.96,25.53,6.403,0,0,3163,24.00696,101.3662,3173,21,-0.02393132,0,0,-0.1,0.5204215,0.4406043,0.47706,0.4256593
"2024-07-17 17:20:00",39,13.11,25.48,6.2,0,0,3163,23.89664,101.3733,3173,21,-0.02321446,0,0,-0.1,0.5206358,0.4407055,0.4772274,0.4257
"2024-07-17 17:25:00",40,13.15,25.41,6.681,0,0,3163,23.78912,101.3768,3173,21,-0.02282184,0,0,-0.1,0.520673,0.4406117,0.4772505,0.4257609
