"TOA5","Yabucoa","CR1000X","45829","CR1000X.Std.06.02","CPU:yabucoa8_27-2024.CR1X","45847","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-21 23:00:00",489,12.98,25.73,35.84,0,4.623,24.11816,100.2101,3008,25.08,-0.01551542,-53.7,-37.5,-28,0.1513897,0.1987532,0.2051972,0.246663
"2025-10-22 00:00:00",490,12.97,25.74,35.77,0,4.623,23.9451,100.1039,3008,25.08,-0.01753511,-51.6,-36.3,-27.8,0.1504143,0.1992232,0.2054741,0.2465844
"2025-10-22 01:00:00",491,12.96,25.41,35.76,0,4.623,23.70355,99.98849,3009,25.08,-0.02483199,-50.1,-35.3,-27.7,0.1493697,0.1995046,0.2055939,0.2466251
"2025-10-22 02:00:00",492,12.94,24.62,36.9,1.524,4.775,22.95874,99.64424,3009,25.08,-0.02912705,-48.7,-34.4,-27.5,0.1485228,0.1998674,0.206003,0.2467172
"2025-10-22 03:00:00",493,12.93,23.91,37.14,0,4.775,23.13364,99.75533,3010,25.07,-0.03475048,-47.5,-33.5,-27.3,0.1478755,0.2002268,0.2062383,0.2468801
"2025-10-22 04:00:00",494,12.91,23.78,36.51,0,4.775,23.02362,99.68819,3010,25.07,-0.03719141,-46.2,-32.7,-27.1,0.1473998,0.2006171,0.2064968,0.2470647
"2025-10-22 05:00:00",495,12.9,23.69,36.42,4.826,5.258,23.00946,99.67806,3010,25.07,-0.03925375,-45.1,-31.8,-27,0.1955308,0.2009044,0.2069209,0.2470629
"2025-10-22 06:00:00",496,12.88,23.76,36.47,4.318,5.69,23.18448,99.82004,3010,25.07,-0.03526458,-38.1,-31.1,-26.8,0.2223629,0.2014868,0.2070507,0.2472577
"2025-10-22 07:00:00",497,12.89,24.08,36.7,0.254,5.715,23.51202,100.376,3009,25.07,-0.03029679,-27.1,-27.5,-26.6,0.2098612,0.2196289,0.2074251,0.2475166
"2025-10-22 08:00:00",498,12.89,24.92,35.65,0,5.715,23.92868,100.6341,3009,25.07,-0.02298546,-20.2,-21,-26.4,0.2055913,0.2344441,0.2076432,0.2475905
"2025-10-22 09:00:00",499,13.28,25.21,35.53,0,5.715,23.97711,100.7457,3008,25.07,-0.01488359,-14.6,-16.2,-26.4,0.2028545,0.2407837,0.2083508,0.2477607
"2025-10-22 10:00:00",500,13.43,25.17,35.5,0,5.715,23.94434,100.7439,3007,25.07,-0.0107143,-11.2,-13.1,-26.3,0.2008296,0.2436422,0.2093576,0.2476532
