"TOA5","adjuntas","CR1000X","31923","CR1000X.Std.05.01","CPU:adjuntas_15-july-2025.CR1X","59975","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","Freq","piezTemp","Lvl","piezTemp2_80cm","Lvl2_80cm","suction1_20cm","suction2_40cm","suction3_60cm","wc1_20cm","wc2_40cm","wc3_60cm","wc4_80cm"
"TS","RN","Volts","","%","mm","cm","Hz","Hz","degC","mh20","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-22 09:05:00",28475,13.26,20.19,110.8,0,83.5,3127,3176,20.66,-0.06324172,20.51031,-0.04136113,0,0,-0.1,0.4904014,0.4145555,0.4852021,0.4184594
"2025-10-22 09:10:00",28476,13.27,20.29,110.8,0,83.5,3127,3176,20.66,-0.06245369,20.51022,-0.04055088,0,0,-0.1,0.490219,0.4145393,0.4851516,0.4183438
"2025-10-22 09:15:00",28477,13.15,20.41,110.7,0,83.5,3127,3176,20.66,-0.06194514,20.51041,-0.04004413,0,0,-0.1,0.4901944,0.4145709,0.4852417,0.4184043
"2025-10-22 09:20:00",28478,13.73,20.45,110.7,0,83.5,3127,3176,20.66,-0.0607726,20.51035,-0.03887756,0,0,-0.1,0.4906702,0.4143737,0.4853929,0.4185762
"2025-10-22 09:25:00",28479,13.79,20.48,110.6,0,83.5,3127,3176,20.66,-0.06044638,20.51013,-0.03856666,0,0,-0.1,0.4906373,0.4142367,0.4853075,0.4184846
"2025-10-22 09:30:00",28480,13.82,20.49,110.6,0,83.5,3127,3176,20.66,-0.05986685,20.51028,-0.03795907,0,0,-0.1,0.4906592,0.4142381,0.4853027,0.4184396
"2025-10-22 09:35:00",28481,13.84,20.49,110.6,0,83.5,3127,3176,20.66,-0.05941325,20.51041,-0.03751942,0,0,-0.1,0.4906424,0.4141769,0.4853227,0.4185557
"2025-10-22 09:40:00",28482,13.85,20.49,110.7,0,83.5,3127,3176,20.66,-0.05954194,20.51022,-0.0376402,0,0,-0.1,0.4907968,0.4140663,0.485289,0.4184614
"2025-10-22 09:45:00",28483,13.86,20.49,110.5,0,83.5,3127,3176,20.66,-0.05870748,20.51022,-0.03682003,0,0,-0.1,0.4907972,0.414119,0.4852822,0.418437
"2025-10-22 09:50:00",28484,13.87,20.49,110.5,0,83.5,3126,3176,20.66,-0.05720383,20.51041,-0.03528412,0,0,-0.1,0.490748,0.4140544,0.4852903,0.418405
"2025-10-22 09:55:00",28485,13.88,20.48,110.4,0,83.5,3126,3176,20.66,-0.05619705,20.51028,-0.03425117,0,0,-0.1,0.4906126,0.4140112,0.4852362,0.4184231
"2025-10-22 10:00:00",28486,13.89,20.47,110.4,0,83.5,3126,3176,20.66,-0.0557186,20.51025,-0.03379664,0,0,-0.1,0.4907171,0.4139482,0.4853616,0.4184113
