"TOA5","aguada","CR1000X","59610","CR1000X.Std.07.02","CPU:AGUADA_09-may-2025_v3.cr1x","48251","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-21 21:00:00",3969,12.94,24.17,14.87,0,132.7,22.82507,101.3273,3072,25.58,-0.2204377,0,0,-0.1,0.4947858,0.326799,0.4790143,0.4783252
"2025-10-21 22:00:00",3970,13,23.88,14.62,0,132.7,22.70139,101.3491,3072,25.58,-0.2146736,0,0,-0.1,0.4947807,0.3265446,0.4789659,0.4780037
"2025-10-21 23:00:00",3971,13,23.66,14.58,0,132.7,22.56448,101.3809,3072,25.58,-0.2134979,0,0,-0.1,0.4944798,0.3262457,0.4789038,0.4779283
"2025-10-22 00:00:00",3972,12.97,23.64,14.53,0,132.7,22.67685,101.4168,3072,25.58,-0.218566,0,0,-0.1,0.4943817,0.326152,0.478865,0.4779768
"2025-10-22 01:00:00",3973,12.96,23.62,14.32,0,132.7,22.58255,101.3597,3073,25.58,-0.2280802,0,0,-0.1,0.4944879,0.3258846,0.4787645,0.4777913
"2025-10-22 02:00:00",3974,12.94,23.46,14.43,0,132.7,22.45755,101.3027,3073,25.57,-0.2336994,0,0,-0.1,0.4944354,0.3257219,0.4786687,0.477895
"2025-10-22 03:00:00",3975,12.92,23.55,14.34,0,132.7,22.64587,101.2882,3074,25.57,-0.2367705,0,0,-0.1,0.494177,0.3256901,0.4786205,0.4776262
"2025-10-22 04:00:00",3976,12.91,23.69,14.19,0,132.7,22.82397,101.29,3074,25.57,-0.2418524,0,0,-0.1,0.4941072,0.3255535,0.4785526,0.4777353
"2025-10-22 05:00:00",3977,12.91,23.73,14.25,0,132.7,22.80414,101.2725,3074,25.57,-0.2433874,0,0,-0.1,0.4939504,0.3253407,0.4784733,0.477644
"2025-10-22 06:00:00",3978,12.91,23.61,14.36,0,132.7,22.59534,101.2047,3074,25.57,-0.2422337,0,0,-0.1,0.4936329,0.3251851,0.4784238,0.4774693
"2025-10-22 07:00:00",3979,12.9,23.52,14.37,0,132.7,22.60406,101.2499,3074,25.57,-0.2367952,0,0,-0.1,0.4935596,0.3250008,0.4784187,0.4774019
"2025-10-22 08:00:00",3980,12.84,24,14.35,0,132.7,23.27359,101.4552,3073,25.57,-0.2281819,0,0,-0.1,0.4933721,0.3250071,0.478477,0.4774278
