"TOA5","anasco","CR1000X","45831","CR1000X.Std.06.01","CPU:ANASCO_18-JUL-2024.CR1X","6936","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-08 19:05:00",32544,12.99,26.62,6.657,0,19.33,3038,25.05838,107.4229,3055,25.58,-0.02917337,-0.2,-10.2,-11.6,0.4307386,0.4627808,0.4154391,0.4674751
"2024-11-08 19:10:00",32545,12.97,26.61,6.695,0,19.33,3038,25.04404,107.4256,3055,25.58,-0.0289706,-0.2,-10.2,-11.6,0.4306015,0.4626253,0.4154378,0.4673994
"2024-11-08 19:15:00",32546,12.96,26.63,6.186,0,19.33,3038,25.02377,107.4271,3055,25.58,-0.02889979,-0.2,-10.2,-11.6,0.4305689,0.4627751,0.4154176,0.467515
"2024-11-08 19:20:00",32547,13.07,26.6,6.271,0,19.33,3038,25.00253,107.4323,3055,25.58,-0.02841914,-0.2,-10.2,-11.6,0.4305605,0.4627337,0.4153644,0.4675554
"2024-11-08 19:25:00",32548,13.09,26.52,6.785,0,19.33,3038,24.97952,107.439,3055,25.58,-0.02778625,-0.2,-10.2,-11.6,0.4305136,0.4628315,0.4153213,0.4675604
"2024-11-08 19:30:00",32549,13.1,26.42,6.326,0,19.33,3037,24.95447,107.4565,3055,25.58,-0.02606463,-0.2,-10.2,-11.6,0.4304514,0.4628505,0.4154348,0.467447
"2024-11-08 19:35:00",32550,13.1,26.28,6.673,0,19.33,3037,24.9339,107.4612,3055,25.58,-0.02558661,-0.2,-10.2,-11.6,0.4304652,0.462796,0.4153211,0.4675018
"2024-11-08 19:40:00",32551,13.1,26.15,6.488,0,19.33,3037,24.91324,107.4663,3055,25.58,-0.02508128,-0.2,-10.2,-11.6,0.4305263,0.4628296,0.4154394,0.4675426
"2024-11-08 19:45:00",32552,13.1,26.02,6.393,0,19.33,3037,24.90002,107.4747,3055,25.58,-0.02417707,-0.2,-10.2,-11.6,0.4303853,0.4626776,0.4153108,0.4675336
"2024-11-08 19:50:00",32553,13.09,25.91,6.284,0,19.33,3037,24.89011,107.4759,3055,25.58,-0.02404916,-0.2,-10.2,-11.6,0.4304765,0.4627765,0.4153068,0.4675635
"2024-11-08 19:55:00",32554,13.09,25.82,6.273,0,19.33,3037,24.88089,107.4763,3055,25.58,-0.02401996,-0.2,-10.3,-11.6,0.4304464,0.4628065,0.4152986,0.4674692
"2024-11-08 20:00:00",32555,13.09,25.75,6.435,0,19.33,3037,24.86771,107.4762,3055,25.58,-0.0240519,-0.2,-10.3,-11.6,0.4304261,0.4628111,0.4153768,0.4674089
