"TOA5","anasco","CR1000X","45831","CR1000X.Std.06.01","CPU:ANASCO_18-JUL-2024.CR1X","6936","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-08 09:00:00",2701,13.11,22.89,7.305,0,19.33,23.49619,107.5995,3054,25.59,-0.013255,-0.2,-9.2,-10.8,0.4376774,0.4636381,0.4169441,0.4676243
"2024-11-08 10:00:00",2702,13.15,23.73,7.305,0,19.33,23.82053,107.6374,3054,25.59,-0.008918643,-0.2,-9.3,-10.9,0.4368394,0.4637017,0.4169341,0.4675113
"2024-11-08 11:00:00",2703,13.69,26.19,6.723,0,19.33,24.43436,107.5973,3054,25.59,-0.01112628,-0.2,-9.4,-10.9,0.4363455,0.4635733,0.4168519,0.4675015
"2024-11-08 12:00:00",2704,13.86,29.18,6.3,0,19.33,25.11139,107.5048,3055,25.59,-0.01921558,-0.2,-9.4,-11,0.4356616,0.4634694,0.4166828,0.4675686
"2024-11-08 13:00:00",2705,13.4,31.12,5.564,0,19.33,25.7522,107.4342,3055,25.59,-0.02550805,-0.2,-9.6,-11.1,0.4350041,0.4633213,0.4164186,0.4676323
"2024-11-08 14:00:00",2706,13.38,31.37,5.447,0,19.33,25.81046,107.3553,3056,25.59,-0.03429866,-0.2,-9.7,-11.2,0.4339147,0.4631699,0.4162002,0.4676096
"2024-11-08 15:00:00",2707,13.37,30.7,5.726,0,19.33,25.82019,107.3178,3056,25.59,-0.03837001,-0.2,-9.9,-11.3,0.4333175,0.4630774,0.4159378,0.4674594
"2024-11-08 16:00:00",2708,13.38,30.85,5.874,0,19.33,25.59586,107.3234,3056,25.58,-0.03861606,-0.2,-10,-11.5,0.4325657,0.4630705,0.4157774,0.4673963
"2024-11-08 17:00:00",2709,13.12,28.68,6.033,0,19.33,25.29428,107.315,3056,25.58,-0.04020584,-0.2,-10.1,-11.5,0.4320249,0.4629216,0.4156062,0.4674972
"2024-11-08 18:00:00",2710,13.06,27.48,6.351,0,19.33,25.16977,107.3506,3056,25.58,-0.03646421,-0.2,-10.2,-11.5,0.4312034,0.4628042,0.4155812,0.4675592
"2024-11-08 19:00:00",2711,13,26.66,6.651,0,19.33,25.06973,107.413,3055,25.58,-0.03018367,-0.2,-10.2,-11.6,0.4307108,0.462819,0.4153939,0.4674802
"2024-11-08 20:00:00",2712,12.96,25.75,6.785,0,19.33,24.86771,107.4762,3055,25.58,-0.0240519,-0.2,-10.3,-11.6,0.4304261,0.4628111,0.4153768,0.4674089
