"TOA5","barranquitas","CR1000X","34548","CR1000X.Std.05.02","CPU:barranquitas_CR1000x_10-July-2025.CR1X","58096","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","AVWRC","Freq","Amp","SNRat","NFreq","DRat","ThermRes","ThermTemp","Lvl","lvl2temp","lvl2","suction1_25cm","suction2_50cm","suction3_78cm","wc1_25cm","wc2_53cm","wc3_82cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","Hz","","Hz","mV RMS","","Hz","","ohms","deg C","mH2O","degC","mH2O","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-22 09:05:00",29900,12.57,22.79,7.742,0,48.4,3042,0,2898,1.313,598.9,2246,0.516,3140,23.96,0.032,23.55,0.014,-287.1,-246.7,-333,0.1845191,0.07024342,0.0865913,0.08856148
"2025-10-22 09:10:00",29901,12.57,22.9,7.277,0,48.4,3042,0,2898,1.313,421.7,3266,0.516,3140,23.96,0.031,23.55,0.014,-287.9,-248,-333.2,0.1850389,0.07024914,0.08664912,0.08860171
"2025-10-22 09:15:00",29902,12.57,23.04,7.829,0,48.4,3042,0,2898,1.313,422.6,2486,0.516,3140,23.96,0.032,23.55,0.014,-289.6,-247.2,-334,0.1849892,0.07016695,0.08669436,0.08863211
"2025-10-22 09:20:00",29903,12.69,23.12,8.53,0.2,48.42,3041,0,2898,1.313,481.5,3284,0.516,3140,23.96,0.033,23.55,0.015,-301.3,-248,-330.2,0.1847362,0.07024395,0.08673388,0.08860081
"2025-10-22 09:25:00",29904,12.76,23.17,8.54,0,48.42,3041,0,2898,1.313,483.7,2454,0.516,3140,23.96,0.034,23.55,0.016,-300.3,-248,-332.7,0.1846226,0.07027799,0.08671302,0.08858472
"2025-10-22 09:30:00",29905,12.77,23.18,8.53,0,48.42,3041,0,2897,1.375,524.5,3266,0.516,3140,23.96,0.036,23.55,0.018,-299.5,-246.4,-331.1,0.184481,0.0703547,0.0867455,0.088579
"2025-10-22 09:35:00",29906,12.77,23.18,8.31,0,48.42,3041,0,2897,1.375,491.4,2545,0.516,3140,23.96,0.038,23.55,0.02,-286.4,-247,-332.3,0.1843314,0.07029867,0.08675271,0.08865112
"2025-10-22 09:40:00",29907,12.78,23.18,8.14,0,48.42,3041,0,2897,1.375,501.4,2543,0.516,3140,23.96,0.039,23.55,0.021,-283.7,-248.3,-334.1,0.1839027,0.07025856,0.0867784,0.0886668
"2025-10-22 09:45:00",29908,12.78,23.17,8.24,0,48.42,3041,0,2897,1.375,417,3132,0.516,3140,23.96,0.04,23.55,0.022,-279.8,-247.6,-330,0.183936,0.07027459,0.08675247,0.0886237
"2025-10-22 09:50:00",29909,12.79,23.16,8.31,0,48.42,3041,0,2897,1.375,582.9,2483,0.516,3140,23.96,0.039,23.55,0.022,-276.8,-249,-333.8,0.1833839,0.07026237,0.08672786,0.08858716
"2025-10-22 09:55:00",29910,12.76,23.16,8.09,0,48.42,3041,0,2897,1.375,584.3,2493,0.516,3140,23.96,0.04,23.55,0.022,-276.8,-246.8,-329,0.183141,0.07026112,0.08675563,0.08857179
"2025-10-22 10:00:00",29911,12.74,23.15,8.08,0,48.42,3041,0,2897,1.375,686.9,2457,0.516,3140,23.96,0.042,23.55,0.024,-275.2,-247,-331.3,0.1828517,0.07030439,0.08671939,0.08858722
