"TOA5","barranquitas","CR1000X","34548","CR1000X.Std.05.02","CPU:barranquitas_CR1000x_10-July-2025.CR1X","58096","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","AVWRC","Freq","Amp","SNRat","NFreq","DRat","ThermRes","ThermTemp","Lvl","lvl2temp","lvl2","suction1_25cm","suction2_50cm","suction3_78cm","wc1_25cm","wc2_53cm","wc3_82cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","Hz","","Hz","mV RMS","","Hz","","ohms","deg C","mH2O","degC","mH2O","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-21 23:00:00",2481,12.76,23.11,8.37,0,46.9,3041,0,2898,1.313,427.4,3224,0.516,3139,23.97,0.034,23.55,0.016,-267.1,-220.6,-334.7,0.1074671,0.07029229,0.08646417,0.08828771
"2025-10-22 00:00:00",2482,12.74,23.08,8.49,0,46.9,3042,0,2898,1.313,446.1,3266,0.516,3139,23.97,0.031,23.55,0.013,-275.8,-223.1,-334.6,0.1075372,0.07022423,0.08652103,0.0882628
"2025-10-22 01:00:00",2483,12.72,22.91,8.55,0,46.9,3042,0,2898,1.188,310.6,2455,0.523,3139,23.97,0.022,23.55,0.004,-277.7,-225.7,-333,0.1075681,0.07027656,0.0865199,0.08830285
"2025-10-22 02:00:00",2484,12.72,22.67,8.65,1.2,47.02,3043,0,2898,1.188,301.6,2438,0.523,3139,23.97,0.015,23.55,-0.003,-276.7,-227.7,-328.9,0.1075943,0.07017732,0.08648187,0.08840638
"2025-10-22 03:00:00",2485,12.71,22.53,8.73,2.2,47.24,3043,0,2899,1.188,379.4,2304,0.523,3139,23.97,0.014,23.55,-0.003,-278.6,-230.4,-331,0.1074592,0.07019836,0.0865199,0.08830273
"2025-10-22 04:00:00",2486,12.71,22.21,8.79,0.2,47.26,3043,0,2899,1.188,432.3,3392,0.523,3139,23.96,0.011,23.55,-0.006,-280.8,-234.7,-332.6,0.1074263,0.07024121,0.08652288,0.0884437
"2025-10-22 05:00:00",2487,12.71,22.02,8.8,0.2,47.28,3043,0,2899,1.188,449.1,2106,0.523,3139,23.96,0.01,23.55,-0.007,-285.9,-236.1,-334.7,0.1074512,0.07015127,0.08654165,0.08846903
"2025-10-22 06:00:00",2488,12.7,22.04,8.72,0.2,47.3,3043,0,2899,1.188,433.2,2120,0.523,3140,23.96,0.012,23.55,-0.005,-300.6,-238.8,-333.2,0.1074163,0.07023132,0.08662808,0.08842927
"2025-10-22 07:00:00",2489,12.7,22.1,8.66,0,47.3,3043,0,2898,1.188,307.1,2451,0.516,3140,23.96,0.02,23.55,0.002,-300.2,-240.9,-329.5,0.1074308,0.07014,0.08660519,0.08841252
"2025-10-22 08:00:00",2490,12.55,22.4,8.7,3,47.6,3042,0,2898,1.25,405.9,3287,0.516,3140,23.96,0.026,23.55,0.009,-302.5,-241.5,-332.3,0.1073053,0.07022434,0.08663243,0.08845729
"2025-10-22 09:00:00",2491,12.55,22.69,8.66,8,48.4,3042,0,2898,1.313,448.1,3255,0.516,3140,23.96,0.031,23.55,0.014,-290.3,-247.2,-332.2,0.1823691,0.07032835,0.08668995,0.08864146
"2025-10-22 10:00:00",2492,12.57,23.15,8.54,0.2,48.42,3041,0,2897,1.375,686.9,2457,0.516,3140,23.96,0.042,23.55,0.024,-275.2,-247,-331.3,0.1828517,0.07030439,0.08671939,0.08858722
