"TOA5","carolina","CR1000X","72365","CR1000X.8.4.0","CPU:carolina_17-oct-2025_v2.cr1x","60045","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-22 09:05:00",1396,12.73,24.39,6.02,0,1.118,3093,24.23691,-1.080772,3061,24.87,0.03692704,-0.5,0,-0.1,0.4309035,0.415135,0.4099494,0.4538774
"2025-10-22 09:10:00",1397,12.7,24.55,5.749,0,1.118,3093,24.4072,-1.076797,3060,24.87,0.03752883,-0.5,0,-0.1,0.4308609,0.4152099,0.4100381,0.4538969
"2025-10-22 09:15:00",1398,12.7,24.78,6.06,0,1.118,3093,24.6225,-1.074486,3060,24.87,0.03793931,-0.5,0,-0.1,0.4308144,0.4151558,0.4100165,0.4537263
"2025-10-22 09:20:00",1399,12.8,24.98,5.788,0,1.118,3093,24.82315,-1.073761,3060,24.87,0.03789805,-0.5,0,-0.1,0.4308502,0.4151617,0.4099879,0.4539783
"2025-10-22 09:25:00",1400,12.82,25.11,5.613,0,1.118,3093,24.97253,-1.064415,3060,24.87,0.0390285,-0.5,0,-0.1,0.4307643,0.4151562,0.4100871,0.4539707
"2025-10-22 09:30:00",1401,12.85,25.17,6.065,0,1.118,3093,25.1203,-1.063957,3060,24.87,0.03910573,-0.5,0,-0.1,0.430699,0.4151049,0.4101133,0.4540117
"2025-10-22 09:35:00",1402,12.86,25.22,5.903,0,1.118,3093,25.25583,-1.060654,3060,24.87,0.03943206,-0.5,0,-0.1,0.4306739,0.4152594,0.4099627,0.4537745
"2025-10-22 09:40:00",1403,12.87,25.27,5.962,0,1.118,3093,25.40897,-1.047813,3060,24.87,0.04101837,-0.5,0,-0.1,0.4306378,0.4150605,0.41005,0.454005
"2025-10-22 09:45:00",1404,12.88,25.33,5.957,0,1.118,3093,25.59705,-1.035263,3060,24.87,0.042382,-0.5,0,-0.1,0.4305844,0.4150683,0.4099748,0.4540145
"2025-10-22 09:50:00",1405,12.91,25.4,6.027,0,1.118,3093,25.78174,-1.038139,3060,24.87,0.04216844,-0.5,0,-0.1,0.4305489,0.4149629,0.4099546,0.4540076
"2025-10-22 09:55:00",1406,12.93,25.49,5.614,0,1.118,3093,25.9928,-1.036728,3060,24.87,0.04256846,-0.5,0,-0.1,0.4305421,0.4150453,0.4099787,0.4540008
"2025-10-22 10:00:00",1407,12.94,25.59,5.738,0,1.118,3094,26.20102,-1.031128,3060,24.87,0.04316911,-0.5,0,-0.1,0.430416,0.4149589,0.4099292,0.4540043
