"TOA5","lares","CR1000X","34547","CR1000X.Std.05.02","CPU:lares_05-apr-2024_b.CR1X","56163","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","piezTemp","Lvl","suction1_22cm","suction2_44cm","suction3_66cm","wc1_22cm","wc2_44cm","wc3_66cm","wc4_88cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-16 09:05:00",76895,11.55,21.22,9.05,0,263.3,21.16144,101.3452,23.22,0.007897705,"NAN",-74.7,"NAN",0.3564397,0.2546306,0.2795709,0.3069647
"2025-01-16 09:10:00",76896,11.59,21.28,9.44,0,263.3,21.23187,101.3489,23.22,0.00838555,"NAN",-74.5,"NAN",0.3564452,0.2545986,0.2796392,0.3070933
"2025-01-16 09:15:00",76897,11.58,21.35,9.32,0,263.3,21.3252,101.3428,23.22,0.008052915,"NAN",-74.7,"NAN",0.3563744,0.2546203,0.2795508,0.3069928
"2025-01-16 09:20:00",76898,11.61,21.44,9.49,0,263.3,21.43793,101.3496,23.22,0.00886333,"NAN",-74.7,"NAN",0.3563959,0.2545938,0.2795455,0.307004
"2025-01-16 09:25:00",76899,11.59,21.53,9.15,0,263.3,21.5824,101.3509,23.22,0.0092525,"NAN",-74.8,"NAN",0.3562776,0.2545911,0.2795941,0.3069713
"2025-01-16 09:30:00",76900,11.6,21.64,9.22,0,263.3,21.74951,101.3542,23.22,0.009750482,"NAN",-75.3,"NAN",0.3561687,0.2545717,0.2796136,0.3070262
"2025-01-16 09:35:00",76901,11.62,21.76,9.18,0,263.3,21.9267,101.3559,23.22,0.01008623,"NAN",-75.1,"NAN",0.3562635,0.2544712,0.2796034,0.3069771
"2025-01-16 09:40:00",76902,11.61,21.88,8.84,0,263.3,22.1199,101.3619,23.22,0.0108081,"NAN",-75.6,"NAN",0.3562452,0.2544541,0.2796034,0.3070049
"2025-01-16 09:45:00",76903,11.61,22.01,9.04,0,263.3,22.28369,101.3648,23.21,0.01095505,"NAN",-75.6,"NAN",0.3561338,0.2544639,0.279578,0.3069872
"2025-01-16 09:50:00",76904,11.65,22.12,9.08,0,263.3,22.41696,101.3673,23.21,0.01148972,"NAN",-75.6,"NAN",0.3561522,0.2544729,0.2794994,0.3070641
"2025-01-16 09:55:00",76905,11.66,22.24,9.18,0,263.3,22.58167,101.3605,23.21,0.01107031,"NAN",-76.2,"NAN",0.3560782,0.2544625,0.2794702,0.3069876
"2025-01-16 10:00:00",76906,11.61,22.37,8.97,0,263.3,22.75571,101.3729,23.21,0.01203422,"NAN",-76.4,"NAN",0.3559382,0.2543885,0.27952,0.3069558
