"TOA5","lares","CR1000X","34547","CR1000X.Std.05.02","CPU:lares_05-apr-2024_b.CR1X","56163","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","piezTemp","Lvl","suction1_22cm","suction2_44cm","suction3_66cm","wc1_22cm","wc2_44cm","wc3_66cm","wc4_88cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-21 23:00:00",2529,12.95,23.03,24.41,0,141.8,21.71643,100.7998,24.73,-0.03808993,0,-0.4,0,0.4426572,0.4013159,0.4557354,0.4557627
"2025-10-22 00:00:00",2530,12.93,22.75,24.43,0,141.8,21.50061,100.7494,24.73,-0.04336209,0,-0.4,0,0.4425899,0.4012593,0.4558321,0.4558033
"2025-10-22 01:00:00",2531,12.91,22.5,24.46,0,141.8,21.26859,100.6972,24.73,-0.04878777,0,-0.4,0,0.4424868,0.4012954,0.4559377,0.4559835
"2025-10-22 02:00:00",2532,12.89,22.25,24.48,0,141.8,21.07016,100.6172,24.73,-0.05704404,0,-0.4,0,0.4423705,0.4013849,0.4559454,0.4559957
"2025-10-22 03:00:00",2533,12.88,22.06,24.49,0,141.8,20.93488,100.5887,24.73,-0.05994154,0,-0.4,0,0.4423016,0.4014408,0.4561,0.4562019
"2025-10-22 04:00:00",2534,12.85,22.01,24.4,0,141.8,21.0636,100.5634,24.73,-0.06229274,0,-0.4,0,0.4420798,0.4013895,0.4560428,0.4561764
"2025-10-22 05:00:00",2535,12.85,22.04,24.3,0,141.8,21.19751,100.5477,24.73,-0.06369818,0,-0.4,0,0.442129,0.4014086,0.456146,0.4563352
"2025-10-22 06:00:00",2536,12.85,22.11,24.24,0,141.8,21.36465,100.5707,24.73,-0.0612805,0,-0.4,0,0.4420912,0.4015016,0.4561344,0.4563751
"2025-10-22 07:00:00",2537,12.84,22.14,24.21,0,141.8,21.40942,100.6392,24.73,-0.0541857,0,-0.4,0,0.4418181,0.4015307,0.4560651,0.4565127
"2025-10-22 08:00:00",2538,12.84,22.4,24.14,0,141.8,22.04071,100.7023,24.73,-0.04711277,0,-0.4,0,0.4419174,0.4013456,0.45609,0.4564165
"2025-10-22 09:00:00",2539,12.9,23.21,23.71,0,141.8,23.43457,100.752,24.73,-0.04099892,0,-0.4,0,0.4418443,0.4013149,0.4560145,0.4565845
"2025-10-22 10:00:00",2540,12.98,24.08,23.04,0,141.8,24.55664,100.7989,24.73,-0.03528268,0,-0.4,0,0.4416707,0.4012545,0.4559443,0.4565005
