"TOA5","maricao","CR6","16534","CR6.Std.11.00","CPU:maricao_7_18_24.CR6","54765","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","Freq","piezTemp","waterLevel","suction1_33cm","suction2_66cm","suction3_99cm","wc1_33cm","wc2_66cm","wc3_99cm","wc4_130cm"
"TS","RN","Volts","Deg C","%","mm","Hz","degC","m","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-08 09:00:00",2685,12.75,24.22,6.874,0,3085,24.6,-0.07234042,-0.2,-0.2,0,0.4274331,0.4512864,0.3767318,0.3187803
"2024-11-08 10:00:00",2686,12.8,25.1,6.813,0,3085,24.6,-0.0719094,-0.2,-0.2,0,0.426122,0.4511354,0.3707165,0.3121156
"2024-11-08 11:00:00",2687,13.25,26.02,6.55,0,3085,24.6,-0.07057746,-0.2,-0.2,0,0.4258481,0.4491172,0.3708144,0.3114699
"2024-11-08 12:00:00",2688,13.43,26.62,6.211,0,3086,24.6,-0.07730211,-0.2,-0.2,0,0.4254749,0.4470152,0.3707879,0.3117636
"2024-11-08 13:00:00",2689,13.45,26.85,6.267,0,3086,24.6,-0.08355974,-0.2,-0.2,0,0.4251129,0.4507724,0.3713841,0.3128197
"2024-11-08 14:00:00",2690,13.15,26.63,6.178,0,3087,24.6,-0.09253896,-0.2,-0.2,0,0.4248521,0.4469086,0.3721876,0.3131505
"2024-11-08 15:00:00",2691,13.05,26.48,6.322,0,3087,24.6,-0.09667994,-0.2,-0.2,0,0.4241802,0.4488028,0.3738307,0.314357
"2024-11-08 16:00:00",2692,13.02,26.37,6.31,0,3087,24.6,-0.09560399,-0.2,-0.2,0,0.424025,0.4486456,0.3747487,0.3148121
"2024-11-08 17:00:00",2693,12.97,26.32,6.311,0,3088,24.6,-0.09791636,-0.2,-0.2,0,0.42374,0.4466953,0.3745992,0.3152917
"2024-11-08 18:00:00",2694,12.96,26.02,6.368,0,3087,24.6,-0.0954218,-0.2,-0.2,0,0.423584,0.4321869,0.375073,0.3158275
"2024-11-08 19:00:00",2695,12.93,25.27,6.609,0,3087,24.59,-0.08895386,-0.2,-0.2,0,0.423812,0.4475515,0.3759806,0.3164417
"2024-11-08 20:00:00",2696,12.86,24.73,6.584,0,3086,24.59,-0.08390889,-0.2,-0.2,0,0.4234989,0.4477209,0.3770324,0.3168405
