"TOA5","maunabo","CR1000X","42590","CR1000X.Std.07.01","CPU:maunabo_CR1000x_7-10-25.CR1X","2616","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq","piezTemp","Lvl","Freq2","pieztemp2","lvl2","suction1_27.5cm","suction2_55cm","suction3_77.5cm","wc1_27.5cm","wc2_55cm","wc3_77.5cm","wc4_110cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","mh20","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-21 23:00:00",2478,12.87,24.81,16.74,0,30.44,3101,25.1,-0.1265261,3055,25.03,-0.06,-33.3,-12.6,-11.9,0.1680202,0.1739864,0.2128853,0.2424562
"2025-10-22 00:00:00",2479,12.86,24.37,17.18,1.2,30.56,3101,25.1,-0.127532,3055,25.03,-0.062,-33.1,-12.6,-11.9,0.168533,0.1739826,0.2128506,0.2424737
"2025-10-22 01:00:00",2480,12.84,24.09,17.11,1.2,30.68,3102,25.1,-0.1347004,3055,25.03,-0.069,-32.6,-12.6,-11.9,0.1701782,0.1737297,0.2128996,0.2424507
"2025-10-22 02:00:00",2481,12.82,23.92,16.91,0.8,30.76,3103,25.1,-0.1397509,3056,25.03,-0.074,-32.1,-12.6,-11.9,0.1679556,0.1738094,0.2127895,0.2424846
"2025-10-22 03:00:00",2482,12.81,23.58,17.04,0,30.76,3103,25.1,-0.1461138,3056,25.03,-0.08,-31.7,-12.6,-11.9,0.1678541,0.1737738,0.2126884,0.2424283
"2025-10-22 04:00:00",2483,12.79,23.53,17.06,0.4,30.8,3104,25.1,-0.1488457,3056,25.03,-0.083,-31.3,-12.6,-11.9,0.1678842,0.1737577,0.2127228,0.2423858
"2025-10-22 05:00:00",2484,12.78,23.36,21.71,4.8,31.28,3104,25.1,-0.1504527,3056,25.03,-0.084,-30.9,-12.6,-11.9,0.1675705,0.1737375,0.2126198,0.2424468
"2025-10-22 06:00:00",2485,12.77,23.33,23.41,4,31.68,3103,25.1,-0.1451767,3056,25.03,-0.079,-30.6,-12.6,-12,0.169529,0.1736295,0.2124447,0.242463
"2025-10-22 07:00:00",2486,12.76,23.64,24.18,0.2,31.7,3103,25.1,-0.1407544,3056,25.03,-0.075,-30.4,-12.6,-12,0.1687002,0.1736963,0.2125238,0.2424304
"2025-10-22 08:00:00",2487,12.6,24.03,22.66,0,31.7,3102,25.1,-0.1327986,3055,25.03,-0.067,-30,-12.7,-12,0.1695487,0.1736741,0.2124127,0.2424299
"2025-10-22 09:00:00",2488,12.63,24.47,20.55,0,31.7,3101,25.1,-0.1256915,3055,25.03,-0.06,-29.7,-12.7,-12,0.1707816,0.1735249,0.2124689,0.2423703
"2025-10-22 10:00:00",2489,12.76,24.72,19.09,0,31.7,3101,25.1,-0.1195904,3054,25.03,-0.054,-29.2,-12.7,-12,0.1716585,0.1735575,0.2123651,0.2423735
