"TOA5","mayaguez","CR1000X","45828","CR1000X.Std.06.01","CPU:mayaguez_2_15_24.CR1X","6562","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_20cm","suction2_40cm","suction3_60cm","wc1_20cm","wc2_40cm","wc3_60cm","wc4_80cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-22 09:05:00",176784,12.63,24.42,20.45,0,20.14,3130,24.02783,102.2412,3116,25.15,0.5182657,-0.1,0,0,0.4076091,0.3865978,0.1547728,0.3859259
"2025-10-22 09:10:00",176785,12.65,24.52,20.36,0,20.14,3130,24.05008,102.241,3116,25.15,0.5182295,-0.1,0,0,0.40754,0.3865544,0.1547489,0.3858767
"2025-10-22 09:15:00",176786,12.64,24.66,20.31,0,20.14,3130,24.06924,102.2479,3116,25.15,0.5190161,-0.1,0,0,0.4076132,0.3864313,0.1547049,0.3859531
"2025-10-22 09:20:00",176787,12.81,24.74,20.22,0,20.14,3130,24.10431,102.2549,3116,25.15,0.5198028,-0.1,0,0,0.40763,0.3864439,0.1546605,0.38603
"2025-10-22 09:25:00",176788,12.84,24.8,20.18,0,20.14,3130,24.14221,102.257,3116,25.15,0.5200578,-0.1,0,0,0.4075072,0.3864647,0.1545919,0.3859435
"2025-10-22 09:30:00",176789,12.85,24.83,20.19,0,20.14,3129,24.16492,102.2626,3116,25.15,0.520663,-0.1,0,0,0.4075129,0.3863544,0.1546039,0.3858816
"2025-10-22 09:35:00",176790,12.86,24.83,20.23,0,20.14,3129,24.18311,102.2754,3116,25.15,0.522011,-0.1,0,0,0.4074055,0.3863474,0.1545085,0.3860006
"2025-10-22 09:40:00",176791,12.87,24.84,20.24,0,20.14,3129,24.21713,102.2832,3116,25.15,0.5228701,-0.1,0,0,0.4073536,0.3863187,0.1544616,0.3859468
"2025-10-22 09:45:00",176792,12.86,24.84,20.23,0,20.14,3129,24.24878,102.292,3116,25.15,0.5238043,-0.1,0,0,0.4073378,0.3862855,0.1544711,0.3858691
"2025-10-22 09:50:00",176793,12.87,24.85,20.26,0,20.14,3129,24.27505,102.2898,3116,25.15,0.5236459,-0.1,0,0,0.4072782,0.3861146,0.1543687,0.3859262
"2025-10-22 09:55:00",176794,12.87,24.87,20.31,0,20.14,3129,24.30023,102.2937,3116,25.15,0.5240926,-0.1,0,0,0.4070874,0.3860812,0.1543012,0.3857945
"2025-10-22 10:00:00",176795,12.88,24.89,20.31,0,20.14,3129,24.32822,102.2947,3116,25.15,0.524223,-0.1,0,0,0.4070211,0.3860396,0.1543573,0.3857591
