"TOA5","mayaguez","CR1000X","45828","CR1000X.Std.06.01","CPU:mayaguez_2_15_24.CR1X","6562","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_20cm","suction2_40cm","suction3_60cm","wc1_20cm","wc2_40cm","wc3_60cm","wc4_80cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-07 09:00:00",4147,12.99,25.9,6.708,0,57.04,25.82446,103.3839,3116,25.78,0.5280112,-10.3,-77.1,-81,0.3607984,0.3153628,0.2056502,0.3127391
"2024-08-07 10:00:00",4148,13.1,27.59,6.119,0,57.04,26.80606,103.392,3116,25.78,0.5301975,-11,-76.7,-81.1,0.3595259,0.3140506,0.2054856,0.3126281
"2024-08-07 11:00:00",4149,13.29,28.97,5.81,0,57.04,27.64304,103.3798,3116,25.78,0.5298181,-12,-76.8,-81.8,0.3578067,0.3121237,0.2049761,0.3124198
"2024-08-07 12:00:00",4150,13.46,30.31,5.683,0,57.04,28.86002,103.3169,3116,25.78,0.5248494,-13.2,-77.2,-83.3,0.3557179,0.3100109,0.2044717,0.3123887
"2024-08-07 13:00:00",4151,13.62,31.23,5.57,0,57.04,29.34317,103.2326,3117,25.78,0.516993,-14.8,-77.7,-85.7,0.3547181,0.3074659,0.2037916,0.3119957
"2024-08-07 14:00:00",4152,13.33,31.2,5.398,0,57.04,29.09045,103.1982,3117,25.78,0.5132994,-16.7,-78.1,-88.1,0.3525072,0.3049234,0.2032711,0.3118296
"2024-08-07 15:00:00",4153,13.48,31.45,5.36,0,57.04,29.29315,103.1404,3117,25.78,0.5071493,-18.9,-78.9,-90.7,0.3500802,0.3023064,0.2026719,0.3115147
"2024-08-07 16:00:00",4154,13.46,31.15,5.442,0,57.04,28.73401,103.117,3118,25.78,0.5040312,-21,-80.1,-93.1,0.3488311,0.3000229,0.2022399,0.311458
"2024-08-07 17:00:00",4155,13.3,30.82,5.522,0,57.04,28.54974,103.0936,3118,25.78,0.5015602,-23,-80.4,-95.2,0.3469751,0.2981405,0.2020104,0.3113174
"2024-08-07 18:00:00",4156,13.21,30.17,5.588,0,57.04,27.86166,103.1129,3118,25.77,0.5025044,-25,-81.4,-96.2,0.3454776,0.2967995,0.2019244,0.3113346
"2024-08-07 19:00:00",4157,13.13,28.74,5.901,0,57.04,26.6048,103.201,3117,25.77,0.509872,-26.3,-82,-96.5,0.3444749,0.2961985,0.2020394,0.3112938
"2024-08-07 20:00:00",4158,13.1,27.5,6.227,0,57.04,26.03018,103.2946,3117,25.77,0.5187201,-26.3,-82.8,-96.2,0.3439298,0.2958989,0.2022886,0.3113234
