"TOA5","naguabo","CR1000X","30764","CR1000X.Std.05.01","CPU:naguabo_8_19_24.CR1X","2140","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-10-21 23:00:00",10088,12.96,23.75,17.86,0,243.9,23.11343,101.0078,3034,25,-0.2315163,-0.6,-0.3,"NAN",0.3268466,0.2925389,0.3935956,0.368383
"2025-10-22 00:00:00",10089,12.95,23.56,17.86,1,244,22.87656,100.989,3034,25,-0.2336889,-0.6,-0.3,"NAN",0.3266434,0.2923516,0.3942114,0.3683984
"2025-10-22 01:00:00",10090,12.94,23.09,18,11.2,245.1,22.25665,100.9407,3034,25,-0.2389683,-0.5,-0.3,"NAN",0.3276826,0.2921813,0.3949,0.3685534
"2025-10-22 02:00:00",10091,12.92,22.8,17.97,2,245.3,22.08829,100.8759,3035,24.99,-0.2455172,-0.5,-0.3,"NAN",0.3338016,0.2942299,0.3955748,0.3686843
"2025-10-22 03:00:00",10092,12.91,22.65,17.93,0,245.3,21.98923,100.8369,3035,24.99,-0.2494791,-0.5,-0.3,"NAN",0.3342717,0.3033176,0.396301,0.3688529
"2025-10-22 04:00:00",10093,12.89,22.71,17.93,0.2,245.3,22.24997,100.7985,3035,24.99,-0.2534662,-0.5,-0.2,"NAN",0.3337569,0.308273,0.397023,0.3691349
"2025-10-22 05:00:00",10094,12.88,22.71,17.9,0,245.3,22.26486,100.7963,3035,24.99,-0.2533151,-0.5,-0.2,"NAN",0.3330981,0.3089446,0.3985863,0.3693282
"2025-10-22 06:00:00",10095,12.86,22.9,17.85,0,245.3,22.57379,100.8348,3035,24.99,-0.2492978,-0.5,-0.2,"NAN",0.3323202,0.3086016,0.4007026,0.3694156
"2025-10-22 07:00:00",10096,12.86,23.01,17.84,0,245.3,22.70609,100.866,3035,24.99,-0.2456881,-0.5,-0.2,"NAN",0.3315024,0.307641,0.4033145,0.3698016
"2025-10-22 08:00:00",10097,12.69,23.89,17.75,0.2,245.4,23.66302,100.9476,3034,24.99,-0.2363431,-0.5,-0.2,"NAN",0.3311208,0.3065002,0.4055514,0.3706314
"2025-10-22 09:00:00",10098,12.84,24.8,17.67,0,245.4,24.80411,100.9894,3034,24.99,-0.2309961,-0.5,-0.2,"NAN",0.3304113,0.3053995,0.4070358,0.3718062
"2025-10-22 10:00:00",10099,13.16,26.28,17.46,0,245.4,26.73737,101.0171,3033,24.99,-0.2259277,-0.5,-0.2,"NAN",0.3300392,0.3044825,0.4078748,0.374191
