"TOA5","orocovis","CR1000X","57471","CR1000X.Std.07.01","CPU:orocovis_19-apr-2024.CR1X","28700","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-16 09:05:00",76896,14,19.96,9.44,0,10.11,2935,19.80432,115.4541,3023,21.01,0.09155291,"NAN",0,0,0.2668729,0.3613178,0.4134319,0.4329877
"2025-01-16 09:10:00",76897,13.92,20.12,9.68,0,10.11,2935,19.81821,115.4672,3023,21.01,0.09300041,"NAN",0,0,0.26679,0.3612863,0.4134206,0.4329885
"2025-01-16 09:15:00",76898,13.91,20.26,10.17,0,10.11,2935,19.82333,115.4749,3023,21.01,0.09445751,"NAN",0,0,0.2667483,0.3612552,0.4134021,0.4329539
"2025-01-16 09:20:00",76899,14.12,20.31,10.11,0,10.11,2935,19.82855,115.4881,3023,21.01,0.09453297,"NAN",0,0,0.2669044,0.3613409,0.4135168,0.4330804
"2025-01-16 09:25:00",76900,14.16,20.33,10.12,0,10.11,2935,19.83661,115.4878,3023,21.01,0.0955531,"NAN",0,0,0.2669262,0.3613206,0.4134741,0.4330607
"2025-01-16 09:30:00",76901,14.15,20.37,9.87,0,10.11,2935,19.86014,115.4767,3023,21.01,0.09433126,"NAN",0,0,0.2668983,0.3613123,0.4134987,0.4330592
"2025-01-16 09:35:00",76902,14.12,20.4,10.23,0,10.11,2935,19.86975,115.4801,3023,21,0.09466344,"NAN",0,0,0.2668266,0.3612763,0.4135048,0.4330745
"2025-01-16 09:40:00",76903,14.12,20.43,9.91,0,10.11,2935,19.88928,115.4812,3023,21,0.09462065,"NAN",0,0,0.2667772,0.3612768,0.4134903,0.4330458
"2025-01-16 09:45:00",76904,14.15,20.46,9.66,0,10.11,2935,19.89566,115.4822,3023,21,0.09465265,"NAN",0,0,0.2668161,0.3612696,0.4135102,0.4330422
"2025-01-16 09:50:00",76905,14.13,20.49,9.76,0,10.11,2935,19.90094,115.481,3023,21,0.09472412,"NAN",0,0,0.2668092,0.3612789,0.4134963,0.4330435
"2025-01-16 09:55:00",76906,14.14,20.53,9.95,0,10.11,2935,19.90817,115.4981,3023,21,0.09599674,"NAN",0,0,0.2666949,0.3612456,0.4134853,0.4330277
"2025-01-16 10:00:00",76907,14.19,20.58,10.06,0,10.11,2935,19.91309,115.4985,3023,21,0.09625804,"NAN",0,0,0.266713,0.3612393,0.4134876,0.4330519
