"TOA5","orocovis","CR1000X","57471","CR1000X.Std.07.01","CPU:orocovis_19-apr-2024.CR1X","28700","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-15 23:00:00",6397,13.1,18.62,11.05,0,10.11,19.80304,115.4245,3023,21.03,0.0873189,"NAN",0,0,0.267432,0.3617683,0.4134107,0.4328526
"2025-01-16 00:00:00",6398,13.08,18.53,10.75,0,10.11,19.77399,115.3791,3024,21.02,0.08251774,"NAN",0,0,0.2671853,0.3617359,0.4133798,0.4328411
"2025-01-16 01:00:00",6399,13.06,18.42,10.94,0,10.11,19.77115,115.3637,3024,21.02,0.08153284,"NAN",0,0,0.2672211,0.3616508,0.4133618,0.4328013
"2025-01-16 02:00:00",6400,13.04,18.47,10.84,0,10.11,19.73541,115.2861,3024,21.02,0.0738861,"NAN",0,0,0.267045,0.3616306,0.4133315,0.4328222
"2025-01-16 03:00:00",6401,13.03,18.62,10.86,0,10.11,19.79626,115.2487,3025,21.02,0.06964713,"NAN",0,0,0.267014,0.3615556,0.413322,0.432799
"2025-01-16 04:00:00",6402,13.02,18.55,10.76,0,10.11,19.7301,115.2163,3025,21.01,0.06638688,"NAN",0,0,0.2669557,0.3614905,0.41328,0.4327871
"2025-01-16 05:00:00",6403,13.01,18.32,10.81,0,10.11,19.72925,115.2329,3025,21.01,0.06837857,"NAN",0,0,0.2668982,0.3614126,0.4132589,0.4327719
"2025-01-16 06:00:00",6404,13.01,18.26,10.77,0,10.11,19.68759,115.2521,3025,21.01,0.07084328,"NAN",0,0,0.2668098,0.3613465,0.4132584,0.4327689
"2025-01-16 07:00:00",6405,13,18.16,10.81,0,10.11,19.69067,115.2877,3024,21.01,0.0751816,"NAN",0,0,0.2667313,0.3612868,0.4132206,0.4327477
"2025-01-16 08:00:00",6406,12.83,18.74,10.72,0,10.11,19.67078,115.3872,3024,21.01,0.08482516,"NAN",0,0,0.2667345,0.361308,0.4133474,0.4328928
"2025-01-16 09:00:00",6407,13.37,19.78,10.42,0,10.11,19.798,115.4546,3023,21.01,0.09119809,"NAN",0,0,0.2670121,0.3613939,0.4134969,0.433083
"2025-01-16 10:00:00",6408,13.91,20.58,10.23,0,10.11,19.91309,115.4985,3023,21,0.09625804,"NAN",0,0,0.266713,0.3612393,0.4134876,0.4330519
