"TOA5","ponce","CR1000X","45832","CR1000X.Std.07.02","CPU:ANASCO_18-JUL-2024 - Copy_1.CR1X","23853","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","Freq2","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_25cm","suction2_50cm","suction3_75cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","Hz","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-16 09:15:00",48051,12.1,22.94,14.88,0,2.66,3170,21.56662,99.72913,3036,23.04,0.1021669,-169.9,-78.2,-125.1,0.2252028,0.2330073,0.2842779,0.2437947
"2025-01-16 09:20:00",48052,12.2,23.02,14.89,0,2.66,3170,21.5701,99.74739,3036,23.04,0.1038369,-169.6,-77.8,-125.6,0.2256131,0.2330729,0.2843888,0.2439315
"2025-01-16 09:25:00",48053,12.2,23.09,14.79,0,2.66,3170,21.57358,99.74756,3036,23.04,0.1041958,-169.3,-78,-124.9,0.2254759,0.233108,0.2843866,0.2440071
"2025-01-16 09:30:00",48054,12.2,23.13,14.88,0,2.66,3170,21.57703,99.75671,3036,23.04,0.1048608,-169,-78,-125.6,0.2254656,0.233107,0.2842969,0.2439007
"2025-01-16 09:35:00",48055,12.21,23.15,14.89,0,2.66,3170,21.58072,99.75154,3036,23.04,0.1045344,-170.1,-78.4,-125.2,0.2255326,0.2330901,0.2843722,0.243895
"2025-01-16 09:40:00",48056,12.21,23.18,14.89,0,2.66,3170,21.58426,99.75462,3036,23.04,0.1045936,-169.2,-78.6,-125.3,0.2254545,0.2329993,0.2842742,0.2438775
"2025-01-16 09:45:00",48057,12.21,23.2,14.82,0,2.66,3170,21.5878,99.75089,3036,23.04,0.104415,-169.8,-78.5,-126,0.2255203,0.2330711,0.2842677,0.2439457
"2025-01-16 09:50:00",48058,12.21,23.23,15.1,0,2.66,3170,21.59171,99.75722,3036,23.04,0.1049683,-168.9,-78.5,-125.6,0.2255784,0.2330403,0.2843371,0.2438664
"2025-01-16 09:55:00",48059,12.21,23.26,14.69,0,2.66,3169,21.59543,99.75849,3036,23.04,0.1052018,-169.9,-78.6,-125.5,0.2255718,0.233036,0.2843488,0.2438665
"2025-01-16 10:00:00",48060,12.22,23.28,15.12,0,2.66,3169,21.59882,99.76783,3036,23.04,0.1060725,-168.6,-78.7,-125.9,0.2255318,0.2330437,0.284286,0.2439505
"2025-01-16 10:05:00",48061,12.13,23.38,14.9,0,2.66,3169,21.60208,99.77872,3036,23.04,0.1070435,-169,-78.7,-125.1,0.2249748,0.2329565,0.2840973,0.2438012
"2025-01-16 10:10:00",48062,12.13,23.46,15,0,2.66,3169,21.6055,99.78546,3036,23.04,0.107749,-170.1,-78.5,-125.5,0.2249148,0.2328688,0.284155,0.2437083
