"TOA5","sanlorenzo","CR6","16535","CR6.Std.13.01","CPU:san lorenzo 8_19_24.CR6","45390","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","Freq","piezTemp","waterLevel","suction1_17.5cm","suction2_35cm","suction3_52.5cm","wc1_17.5cm","wc2_35cm","wc3_52.5cm","wc4_70cm"
"TS","RN","Volts","Deg C","%","mm","Hz","degC","m","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-11-08 19:05:00",20525,13.06,24.64,16.87,0,3115,23.8,-0.2334715,-0.2,-0.4,0,0.500155,0.4829811,0.4681494,0.4589459
"2024-11-08 19:10:00",20526,13.02,24.77,16.78,0,3115,23.8,-0.2338518,-0.2,-0.4,0,0.5000753,0.482969,0.4682422,0.4590695
"2024-11-08 19:15:00",20527,13.02,24.9,16.8,0,3115,23.8,-0.2331654,-0.2,-0.4,0,0.4999309,0.482976,0.468138,0.4589612
"2024-11-08 19:20:00",20528,13.17,24.83,16.56,0,3115,23.8,-0.2323269,-0.2,-0.4,0,0.5010329,0.4832535,0.4679725,0.4590659
"2024-11-08 19:25:00",20529,13.17,24.71,16.48,0,3114,23.8,-0.2305843,-0.2,-0.4,0,0.5012686,0.4832996,0.4680302,0.4590006
"2024-11-08 19:30:00",20530,13.18,24.61,16.34,0,3114,23.8,-0.230337,-0.2,-0.4,0,0.5011312,0.4833018,0.4678546,0.4590509
"2024-11-08 19:35:00",20531,13.19,24.5,16.32,0,3114,23.8,-0.2274569,-0.2,-0.4,0,0.5011634,0.4833564,0.4679514,0.4589653
"2024-11-08 19:40:00",20532,13.22,24.41,16.48,0,3114,23.8,-0.2261223,-0.2,-0.4,0,0.5013965,0.4833995,0.4679661,0.4591259
"2024-11-08 19:45:00",20533,13.21,24.34,16.41,0,3114,23.8,-0.2267895,-0.2,-0.4,0,0.5011904,0.4834428,0.4679223,0.4591488
"2024-11-08 19:50:00",20534,13.22,24.28,16.39,0,3114,23.8,-0.2273306,-0.2,-0.4,0,0.5012569,0.4833639,0.4679614,0.4592135
"2024-11-08 19:55:00",20535,13.19,24.22,16.51,0,3114,23.8,-0.2297127,-0.2,-0.4,0,0.5017186,0.4834323,0.4678856,0.4591994
"2024-11-08 20:00:00",20536,13.22,24.17,16.46,0,3114,23.8,-0.2304127,-0.2,-0.4,0,0.5011908,0.4832264,0.4679883,0.4591068
