"TOA5","sanlorenzo","CR6","16535","CR6.Std.13.01","CPU:san lorenzo 3_18_24.CR6","52785","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Rain_mm_Tot","Freq","piezTemp","waterLevel","suction1_17.5cm","suction2_35cm","suction3_52.5cm","wc1_17.5cm","wc2_35cm","wc3_52.5cm","wc4_70cm"
"TS","RN","Volts","Deg C","mm","Hz","degC","m","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-08-07 09:00:00",2519,13.49,26.22,0,3113,24.6,-0.2173119,-0.1,-0.4,0,0.5015695,0.4786854,0.4730748,0.4557204
"2024-08-07 10:00:00",2520,13.49,28.06,0,3114,24.6,-0.2196066,-0.1,-0.4,0,0.5014491,0.4787866,0.4729474,0.4556532
"2024-08-07 11:00:00",2521,13.45,29.78,0,3114,24.6,-0.2224958,-0.1,-0.4,0,0.5010829,0.4787912,0.4730532,0.4555103
"2024-08-07 12:00:00",2522,13.41,31.51,0,3114,24.6,-0.226241,-0.1,-0.4,0,0.5010763,0.4787763,0.4729059,0.4555235
"2024-08-07 13:00:00",2523,13.37,32.2,0,3115,24.6,-0.2365588,-0.1,-0.4,0,0.5007792,0.478395,0.4728029,0.4552944
"2024-08-07 14:00:00",2524,13.38,32.69,0,3116,24.61,-0.2422075,-0.1,-0.4,0,0.5004934,0.4785539,0.472703,0.4553287
"2024-08-07 15:00:00",2525,13.37,30.24,0,3116,24.61,-0.2477096,-0.1,-0.4,0,0.5001299,0.4782149,0.4726093,0.4552201
"2024-08-07 16:00:00",2526,13.41,31.58,0,3117,24.61,-0.2538425,-0.1,-0.4,0,0.4998299,0.478187,0.4723542,0.4548838
"2024-08-07 17:00:00",2527,13.37,31.72,0,3113,24.61,-0.2174129,-0.1,-0.4,0,0.4997717,0.4782614,0.472327,0.4547696
"2024-08-07 18:00:00",2528,13.37,30.29,0,3113,24.61,-0.2146571,-0.1,-0.4,0,0.4997108,0.4783024,0.472157,0.4548483
"2024-08-07 19:00:00",2529,13.14,27,0,3113,24.61,-0.2106672,-0.1,-0.4,0,0.4993492,0.4779353,0.4724492,0.4546723
"2024-08-07 20:00:00",2530,12.98,25.5,0,3112,24.61,-0.204888,-0.1,-0.4,0,0.4992942,0.4775815,0.472396,0.4543276
