"TOA5","toronegro","CR1000X","59608","CR1000X.Std.07.02","CPU:TORO_NEGRO_25-SEP-2024_v3.CR1X","27255","t60min"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","rain_cum","air_temp","atmos_pressure","Freq","piezTemp","Lvl","suction1_50cm","suction2_75cm","suction3_100cm","wc1_25cm","wc2_50cm","wc3_75cm","wc4_100cm"
"TS","RN","Volts","","%","mm","cm","degC","kPa","Hz","degC","mh20","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-01-15 23:00:00",2651,13.14,16.03,12.86,0,45.87,15.40503,101.326,3112,18.34,0.1691686,-0.2,0,-0.1,0.5223496,0.5244163,0.4959776,0.49761
"2025-01-16 00:00:00",2652,13.12,16.1,12.56,0,45.87,15.50595,101.2839,3112,18.34,0.1652621,-0.2,0,-0.1,0.5223123,0.524406,0.4959321,0.4974289
"2025-01-16 01:00:00",2653,13.11,15.97,12.4,0,45.87,15.41135,101.2847,3112,18.33,0.165077,-0.2,0,-0.1,0.5225133,0.5244087,0.4958569,0.4971044
"2025-01-16 02:00:00",2654,13.09,15.98,12.26,0,45.87,15.48032,101.2144,3112,18.33,0.1582686,-0.2,0,-0.1,0.5224882,0.5243664,0.4957794,0.4970527
"2025-01-16 03:00:00",2655,13.08,15.87,12.28,0,45.87,15.33533,101.1613,3113,18.33,0.1525232,-0.2,0,-0.1,0.5221967,0.5243217,0.4957653,0.496962
"2025-01-16 04:00:00",2656,13.06,15.86,12.29,0,45.87,15.39865,101.1094,3113,18.33,0.1472857,-0.2,0,-0.1,0.5224211,0.524518,0.4955359,0.4968836
"2025-01-16 05:00:00",2657,13.05,15.93,12.23,0.254,45.9,15.43454,101.1173,3113,18.33,0.1482753,-0.2,0,-0.1,0.5221455,0.5242606,0.4956551,0.4970903
"2025-01-16 06:00:00",2658,13.04,15.61,12.16,0,45.9,15.00842,101.1583,3113,18.33,0.1521509,-0.2,0,-0.1,0.522089,0.5244339,0.4956664,0.4970266
"2025-01-16 07:00:00",2659,13.03,15.35,12.4,0,45.9,14.82516,101.2327,3112,18.32,0.1594862,-0.2,0,-0.1,0.5220939,0.5242105,0.4955987,0.4969459
"2025-01-16 08:00:00",2660,12.86,15.67,12.19,0,45.9,15.12485,101.2859,3112,18.32,0.1650645,-0.2,0,-0.1,0.5220176,0.5244639,0.495628,0.4969167
"2025-01-16 09:00:00",2661,12.9,16.25,11.98,0,45.9,15.74313,101.3539,3111,18.32,0.1726755,-0.2,0,-0.2,0.5222645,0.5245576,0.4956219,0.4969116
"2025-01-16 10:00:00",2662,13.2,17.19,11.62,0,45.9,16.78577,101.37,3111,18.32,0.1752081,-0.2,0,-0.2,0.5221519,0.524471,0.4957244,0.496742
