"TOA5","maricao","CR6","16534","CR6.Std.11.00","CPU:maricao_7_18_24.CR6","54765","t5minute"
"TIMESTAMP","RECORD","BattV_Min","PanelTemp_C","Enc_RH_Max","Rain_mm_Tot","Freq","piezTemp","waterLevel","suction1_33cm","suction2_66cm","suction3_99cm","wc1_33cm","wc2_66cm","wc3_99cm","wc4_130cm"
"TS","RN","Volts","Deg C","%","mm","Hz","degC","m","kPa","kPa","kPa","vol water/total vol","vol water/total vol","vol water/total vol","vol water/total vol"
"","","Min","Smp","Max","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-07-19 10:30:00",0,13.45,33.91,2.596,0,3079,24.94,-0.01083248,-0.4,-0.2,0,0.3257861,0.3928106,0.3746698,0.3171638
"2024-07-19 10:35:00",1,13.45,33.41,2.589,0,3079,24.94,-0.01084663,-0.4,-0.2,0,0.3255442,0.3926638,0.3743733,0.3173004
"2024-07-19 10:40:00",2,13.48,32.99,2.588,0,3079,24.94,-0.01070191,-0.4,-0.2,0,0.3255913,0.392678,0.3740023,0.3171163
"2024-07-19 10:45:00",3,13.48,32.75,2.578,0,3079,24.94,-0.01053677,-0.4,-0.2,0,0.3253336,0.3925546,0.3741146,0.3170235
"2024-07-19 10:50:00",4,13.48,32.61,2.587,0,3079,24.94,-0.01011698,-0.4,-0.2,0,0.3250742,0.392537,0.3739665,0.3169945
"2024-07-19 10:55:00",5,13.48,32.28,2.577,0,3079,24.94,-0.01066102,-0.4,-0.2,0,0.324743,0.3921336,0.3740728,0.3169452
"2024-07-19 11:00:00",6,13.49,32.14,2.571,0,3079,24.94,-0.009884381,-0.4,-0.2,0,0.3246254,0.3921034,0.3739551,0.3169457
"2024-07-19 11:30:00",0,13.52,31.19,67.97,0,3078,24.94,-0.007629692,-0.4,-0.2,0,0.3239124,0.3921764,0.3737519,0.3169108
"2024-07-19 11:35:00",1,13.49,30.85,51.43,0,3078,24.94,-0.006941055,-0.4,-0.2,0,0.32386,0.3920691,0.37388,0.3170573
"2024-07-19 11:40:00",2,13.52,30.48,32.19,0,3079,24.94,-0.009203633,-0.4,-0.2,0,0.3237144,0.3919388,0.3736928,0.317188
"2024-07-19 11:45:00",3,13.52,30.25,24.27,0,3079,24.94,-0.009249229,-0.4,-0.2,0,0.3235022,0.3919697,0.3734988,0.317012
"2024-07-19 11:50:00",4,13.56,30.17,18.39,0,3079,24.94,-0.00925713,-0.4,-0.2,0,0.3234381,0.3921599,0.3733602,0.317192
"2024-07-19 11:55:00",5,13.54,30.24,15.64,0,3079,24.94,-0.008180129,-0.4,-0.2,0,0.3233094,0.3919269,0.372561,0.3170218
"2024-07-19 12:00:00",6,13.56,30.32,14.25,0,3079,24.94,-0.008865679,-0.4,-0.2,0,0.3231027,0.3919873,0.3733009,0.3171337
"2024-07-19 12:05:00",7,13.48,30.53,12.34,0,3079,24.94,-0.009337577,-0.4,-0.2,0,0.3235701,0.3923143,0.3747948,0.3168613
"2024-07-19 12:10:00",8,13.44,30.78,9.53,0,3079,24.94,-0.009318797,-0.4,-0.2,0,0.3233008,0.3919622,0.3749658,0.3168234
"2024-07-19 12:15:00",9,13.44,31.11,7.521,0,3079,24.94,-0.009430544,-0.4,-0.2,0,0.3231742,0.3921438,0.3749405,0.3167825
"2024-07-19 12:20:00",10,13.44,31.29,6.553,0,3079,24.94,-0.01073246,-0.4,-0.2,0,0.3224757,0.3915403,0.3740221,0.3168806
"2024-07-19 12:25:00",11,13.44,31.34,6.551,0,3079,24.94,-0.01242131,-0.4,-0.2,0,0.3222589,0.3916979,0.3732732,0.3167316
"2024-07-19 12:30:00",12,13.48,31.41,6.045,0,3079,24.94,-0.01422797,-0.4,-0.2,0,0.3221119,0.3917158,0.3737482,0.3168996
"2024-07-19 12:35:00",13,13.49,31.34,6.552,0,3079,24.94,-0.01292927,-0.4,-0.2,0,0.3218452,0.3916781,0.3735932,0.3169167
"2024-07-19 12:40:00",14,13.5,31.21,5.942,0,3079,24.94,-0.01454417,-0.4,-0.2,0,0.3217413,0.3915325,0.37367,0.3169243
"2024-07-19 12:45:00",15,13.48,31.13,5.958,0,3079,24.94,-0.01469201,-0.4,-0.2,0,0.3215616,0.3914109,0.3735917,0.3168886
"2024-07-19 12:50:00",16,13.52,31.03,5.887,0,3079,24.94,-0.01327219,-0.4,-0.2,0,0.3212597,0.3913403,0.3734429,0.3167286
